ref_odoo;libelle;code_barre;categorie;prix_achat
X-BAR E-LIQUIDE FRESH BERRY 10ML-20MG;XBL006;;ELIQUIDES - XBAR;
X-BAR E-LIQUIDE GRANITE CITRON 10ML-10MG;XBL007;;ELIQUIDES - XBAR;
X-BAR E-LIQUIDE GRANITE CITRON 10ML-20MG;XBL008;;ELIQUIDES - XBAR;
X-BAR E-LIQUIDE GREEN APPLE 10ML-10MG;XBL009;;ELIQUIDES - XBAR;
X-BAR E-LIQUIDE ICE GRAPE 10ML-10MG;XBL011;;ELIQUIDES - XBAR;
X-BAR E-LIQUIDE ICE GRAPE 10ML-20MG;XBL012;;ELIQUIDES - XBAR;
X-BAR E-LIQUIDE ICE MANGO 10ML-20MG;XBL014;;ELIQUIDES - XBAR;
X-BAR E-LIQUIDE LUSH ICE 10ML-20MG;XBL016;;ELIQUIDES - XBAR;
X-BAR E-LIQUIDE MENTHE XTREME 10ML-10MG;XBL017;;ELIQUIDES - XBAR;
X-BAR E-LIQUIDE MENTHE XTREME 10ML-20MG;XBL018;;ELIQUIDES - XBAR;
X-BAR E-LIQUIDE PASTEQUE PITAYA ICE 10ML-20MG;XBL020;;ELIQUIDES - XBAR;
X-BAR E-LIQUIDE RASPBERRY 10ML-10MG;XBL021;;ELIQUIDES - XBAR;
X-BAR E-LIQUIDE RASPBERRY 10ML-20MG;XBL022;;ELIQUIDES - XBAR;
X-BAR E-LIQUIDE TROPICAL PUNCH 10ML-20MG;XBL024;;ELIQUIDES - XBAR;
X-BAR E-LIQUIDE VANILLA MACADAMIA 10ML-20MG;XBL026;;ELIQUIDES - XBAR;
X-BAR SHISHA;SHI001;;CHICHA / ACCESSOIRES;
X-BAR SHISHA POD - COLA;SHI003;;CHICHAS - GOUTS;
X-BAR SHISHA POD - DOUBLE POMME;SHI006;;CHICHAS - GOUTS;
X-BAR SHISHA POD - ENERGY DRINK;SHI007;;CHICHAS - GOUTS;
X-BAR SHISHA POD - FRUITS ROUGES;SHI009;;CHICHAS - GOUTS;
X-BAR SHISHA POD - MANGUE;SHI002;;CHICHAS - GOUTS;
X-BAR SHISHA POD - MENTHE;SHI004;;CHICHAS - GOUTS;
X-BAR SHISHA POD - MYRTILLE;SHI005;;CHICHAS - GOUTS;
X-BAR SHISHA POD - RAISIN;SHI008;;CHICHAS - GOUTS;
