ref_odoo;libelle;code_barre;categorie;prix_achat
BRIQUET TURBO MATTEO SINGE X50/178233;B213;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO TOUCHABLE GOLD WEED X25/173728;B304;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO TOUCHABLE WEED X25/173701;B303;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO TROPICAL X25/173724;B0052;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO WEED X50/170059;B209;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO WHISKY X50/178226;B205;;BRIQUETS - LAZER;
BRIQUET XOXO X50;BRI0021;;BRIQUETS - GAZ;
BRIQUET ZORR BLACK SOFT X50;B015;;BRIQUETS - GAZ;
CÂBLE CHARGE LUMINEUX 3 EN 1 - COULEURS MIXTES;C010;;MULTIMEDIA;
CASQUETTE JNR;GOO003;;PLV;
CDBZ AMNESIA 3G;G030;;CBD - CDBZ;
CDBZ GORILLA GLUE 3G;G031;;CBD - CDBZ;
CDBZ OG KUSH 3G;G032;;CBD - CDBZ;
CDBZ PURPLE HAZE 3G;G033;;CBD - CDBZ;
CENDRIER DE VOITURE BUCKET PHOSPHORESCENT;;;ACCESSOIRES FUMEURS;
CENDRIER EN VERRE SYNDICATE 420;CRE005;;ACCESSOIRES FUMEURS;
CENDRIER EN VERRE SYNDICATE HC2;CRE004;;ACCESSOIRES FUMEURS;
CENDRIER JAMAICA CARRE VERT/VJR;CRE006;;ACCESSOIRES FUMEURS;
CENDRIER METAL AMSTERDAM;C0011;;ACCESSOIRES FUMEURS;
CENDRIER METAL DESIGN MIXTE;C005;;ACCESSOIRES FUMEURS;
CENDRIER METAL RAW;C004;;ACCESSOIRES FUMEURS;
CENDRIER POUSSOIR LEAF;C0070;;ACCESSOIRES FUMEURS;
CENDRIER POUSSOIR ORNETT;C007;;ACCESSOIRES FUMEURS;
CENDRIER POUSSOIR STRASS;C008;;ACCESSOIRES FUMEURS;
CENDRIER RESINE THC;CRE002;;ACCESSOIRES FUMEURS;
CENDRIER TETE DE MORT;CRE003;;ACCESSOIRES FUMEURS;
CHARBON CIRSKULL POCKET;CH003;;CHARBONS;
